"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"JKTYRE.NS, Long, 2026-02-10 (Price: 571.65)",No Exit Yet,"4.41%, 3 days","91.3%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 596.85), 4.41% above",3 days,"2, 2021-06-18 (Price: 156.6)",2026-02-06 (Price: 541.45),2026-02-10 (Price: 571.65),7/3/3 days,10.23% above/4.41% above/4.41% above,2021-06-18 (Price: 156.6)/2026-02-10 (Price: 532.925),17.16%/1.13%/7.04%,"22.0%, 40.11%",2.5 months/7 days/22 days,2026-05-29/2026-02-20/2026-03-13,21.79%,25.08%,-3.29%,0.61,1.08,630.9873/611.8942/820.68/No Horizontal Resistance/566.7306/610.5538/No EMA 200 Target,499.95/97.45/502.739/392.8519/No F-Track Level/No F-Track Level/402.58,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),24.19067,20.0,2077500000.0,1350400000.0
"JMFINANCIL.NS, Long, 2026-02-10 (Price: 140.43)",No Exit Yet,"-1.4%, 3 days","92.31%, Past 4 years, 13","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 138.47), 1.4% below",3 days,"2, 2025-09-09 (Price: 195.6)",2026-02-09 (Price: 130.68),2026-02-10 (Price: 140.43),4/3/3 days,5.96% above/1.4% below/1.4% below,2025-09-09 (Price: 195.6)/2026-02-10 (Price: 129.7022),10.6%/2.88%/5.01%,"12.13%, 39.51%",3.6 months/4 days/21 days,2026-07-16/2026-02-15/2026-03-12,1.61%,5.67%,-4.06%,0.68,0.34,157.9416/147.4655/173.53/No Horizontal Resistance/185.2618/196.7095/151.56,122.05/57.475/126.1281/82.5063/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),10.8064,18.0,3128000000.0,2321600000.0
"JUBLFOOD.NS, Long, 2026-02-10 (Price: 554.45)",No Exit Yet,"-2.62%, 3 days","86.36%, Past 4 years, 22","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 539.9), 2.62% below",3 days,"2, 2025-11-14 (Price: 622.95)",2026-02-06 (Price: 544.25),2026-02-10 (Price: 554.45),7/3/3 days,0.8% below/2.62% below/2.62% below,2025-11-14 (Price: 622.95)/2026-02-10 (Price: 542.585),9.02%/1.38%/4.96%,"23.36%, 33.96%",1.1 month/8 days/21 days,2026-03-29/2026-02-21/2026-03-12,11.04%,7.11%,3.93%,-0.01,0.37,579.2339/581.9507/595.55/801.575/855.2872/1035.6534/622.13,488.3/417.3/510.6818/460.6191/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),110.50309,20.0,709030000.0,429130000.0
"POONAWALLA.NS, Long, 2026-02-10 (Price: 485.9)",No Exit Yet,"-2.74%, 3 days","83.33%, Past 4 years, 18","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 472.6), 2.74% below",3 days,"4, 2025-10-06 (Price: 570.4)",2026-02-09 (Price: 465.85),2026-02-10 (Price: 485.9),4/3/3 days,1.45% above/2.74% below/2.74% below,2025-10-06 (Price: 570.4)/2026-02-10 (Price: 449.1915),10.72%/2.07%/6.32%,"25.19%, 41.18%",3 months/6 days/1.2 month,2026-06-20/2026-02-18/2026-04-03,8.39%,28.98%,-20.59%,0.24,1.2,514.2766/516.6089/536.6/516.85/620.0283/703.818/No EMA 200 Target,394.25/212.5333/440.084/277.084/No F-Track Level/No F-Track Level/449.65,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),106.08108,10.0,1502200000.0,-4710400000.0
"PRAJIND.NS, Long, 2026-02-10 (Price: 342.05)",No Exit Yet,"-8.49%, 3 days","86.96%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 313.0), 8.49% below",3 days,"0, 2024-12-02 (Price: 855.0)",2026-02-09 (Price: 295.8),2026-02-10 (Price: 342.05),4/3/3 days,5.81% above/8.49% below/8.49% below,2024-12-02 (Price: 855.0)/2026-02-10 (Price: 284.8517),18.59%/1.03%/6.48%,"5.32%, 28.92%",3.4 months/7 days/26 days,2026-07-07/2026-02-20/2026-03-19,28.04%,15.48%,12.56%,0.92,0.71,385.0799/364.2148/649.82/819.825/912.9638/1013.1424/397.19,276.15/294.84/317.6199/290.7157/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),54.104347,20.0,53388000.0,841783000.0
"PVRINOX.NS, Long, 2026-02-10 (Price: 1076.05)",No Exit Yet,"-0.91%, 3 days","100.0%, Past 4 years, 6","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 1066.3), 0.91% below",3 days,"2, 2025-10-30 (Price: 1249.7)",2026-02-06 (Price: 1006.4),2026-02-10 (Price: 1076.05),7/3/3 days,5.95% above/0.91% below/0.91% below,2025-10-30 (Price: 1249.7)/2026-02-10 (Price: 964.086),11.1%/1.32%/4.81%,"0%, 8.96%",1.9 month/4 days/20 days,2026-05-03/2026-02-15/2026-03-10,19.61%,-11.34%,30.95%,1.32,-0.61,1162.672/1127.808/1180.24/1852.925/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,931.0/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1045.46,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),493.5648,20.0,957000000.0,-118000000.0
"RITES.NS, Long, 2026-02-10 (Price: 228.34)",No Exit Yet,"-3.22%, 3 days","84.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 220.98), 3.22% below",3 days,"2, 2025-12-26 (Price: 257.38)",2026-02-06 (Price: 223.87),2026-02-10 (Price: 228.34),7/3/3 days,1.29% below/3.22% below/3.22% below,2025-12-26 (Price: 257.38)/2026-02-10 (Price: 221.6137),12.76%/0.93%/7.25%,"28.26%, 48.83%",1.6 month/7 days/18 days,2026-04-20/2026-02-20/2026-03-08,8.14%,5.98%,2.16%,0.29,0.33,241.7436/244.8947/245.76/384.075/400.0222/505.6598/253.28,217.79/116.2083/222.9574/181.1574/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),25.675203,20.0,1019900000.0,1000900000.0
"SCI.NS, Long, 2026-02-10 (Price: 266.97)",No Exit Yet,"0.95%, 3 days","94.74%, Past 4 years, 19","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 269.5), 0.95% above",3 days,"2, 2025-10-24 (Price: 280.5)",2026-02-06 (Price: 221.8),2026-02-10 (Price: 266.97),7/3/3 days,21.51% above/0.95% above/0.95% above,2025-10-24 (Price: 280.5)/2026-02-10 (Price: 221.1177),11.12%/4.13%/6.82%,"4.19%, 58.44%",4.3 months/8 days/1.5 month,2026-08-15/2026-02-21/2026-04-16,11.25%,15.38%,-4.13%,1.85,0.7,275.9936/285.1774/275.09/No Horizontal Resistance/303.2302/328.2466/No EMA 200 Target,201.74/97.9333/250.3191/219.2608/No F-Track Level/No F-Track Level/219.57,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),11.056744,20.0,4049700000.0,755200000.0
"SHYAMMETL.NS, Long, 2026-02-10 (Price: 902.8)",No Exit Yet,"-2.08%, 3 days","95.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 884.05), 2.08% below",3 days,"2, 2021-07-12 (Price: 428.5)",2026-02-09 (Price: 890.7),2026-02-10 (Price: 902.8),4/3/3 days,0.75% below/2.08% below/2.08% below,2021-07-12 (Price: 428.5)/2026-02-10 (Price: 884.2089),10.5%/0.5%/5.54%,"13.3%, 26.49%",3.8 months/7 days/1.1 month,2026-07-25/2026-02-20/2026-03-29,17.02%,12.72%,4.3%,0.86,0.63,938.1898/952.8151/1187.38/994.5/1049.1884/1101.891/No EMA 200 Target,779.1/278.3833/879.4084/793.0442/No F-Track Level/No F-Track Level/879.22,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),25.442911,20.0,1972400000.0,1977100000.0
"SUNTV.NS, Long, 2026-02-10 (Price: 614.35)",No Exit Yet,"-4.66%, 3 days","92.31%, Past 4 years, 26","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 585.7), 4.66% below",3 days,"10, 2024-06-12 (Price: 792.6)",2026-02-09 (Price: 569.9),2026-02-10 (Price: 614.35),4/3/3 days,2.77% above/4.66% below/4.66% below,2024-06-12 (Price: 792.6)/2026-02-10 (Price: 561.2295),7.09%/1.38%/3.34%,"8.87%, 23.69%",1.9 month/7 days/25 days,2026-05-03/2026-02-20/2026-03-18,13.17%,2.48%,10.69%,0.37,0.15,648.9993/634.8693/721.3/No Horizontal Resistance/1393.8258/1478.6185/No EMA 200 Target,537.0/398.175/610.9129/No support/No F-Track Level/No F-Track Level/576.39,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),14.570966,20.0,3240600000.0,3634200000.0
"ATUL.NS, Long, 2026-02-09 (Price: 6531.0)",No Exit Yet,"1.71%, 4 days","90.48%, Past 4 years, 21","Daily, is CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 6642.5), 1.71% above",4 days,"2, 2020-01-10 (Price: 4310.0)",2026-02-06 (Price: 6459.0),2026-02-09 (Price: 6531.0),7/4/4 days,2.84% above/1.71% above/1.71% above,2020-01-10 (Price: 4310.0)/2026-02-09 (Price: 6371.103),13.13%/0.46%/5.09%,"17.37%, 25.96%",2.7 months/7 days/26 days,2026-06-06/2026-02-19/2026-03-18,11.38%,4.85%,6.53%,0.44,0.25,7063.9296/6863.4279/7863.6/10824.4001/12269.9576/13179.5057/No EMA 200 Target,5664.5/5668.0/6276.8056/5827.6988/No F-Track Level/No F-Track Level/6440.44,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),32.865906,20.0,1607400000.0,1368100000.0
"CEATLTD.NS, Long, 2026-02-09 (Price: 4015.6001)",No Exit Yet,"0.47%, 4 days","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 4034.5), 0.47% above",4 days,"4, 2025-10-23 (Price: 4438.0)",2026-02-05 (Price: 3878.1001),2026-02-09 (Price: 4015.6001),8/4/4 days,4.03% above/0.47% above/0.47% above,2025-10-23 (Price: 4438.0)/2026-02-09 (Price: 3841.8247),19.21%/1.46%/5.31%,"3.9%, 24.59%",4 months/6 days/1.5 month,2026-08-01/2026-02-17/2026-04-15,24.34%,17.32%,7.02%,0.92,0.82,4370.9807/4228.8285/4269.04/4044.0/4937.5719/5697.8144/No EMA 200 Target,3545.1/1265.1/3824.3322/3079.4707/No F-Track Level/No F-Track Level/3654.61,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),29.39177,20.0,1557700000.0,1218800000.0
"CHAMBLFERT.NS, Long, 2026-02-09 (Price: 444.8)",No Exit Yet,"2.38%, 4 days","81.82%, Past 4 years, 33","Daily, is CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 455.4), 2.38% above",4 days,"2, 2026-01-05 (Price: 487.0)",2026-02-06 (Price: 428.05),2026-02-09 (Price: 444.8),7/4/4 days,6.39% above/2.38% above/2.38% above,2026-01-05 (Price: 487.0)/2026-02-09 (Price: 423.7),22.62%/1.6%/7.16%,"22.05%, 29.14%",3.1 months/6 days/20 days,2026-06-23/2026-02-17/2026-03-09,19.51%,14.38%,5.13%,0.6,0.68,486.5222/476.6477/470.12/577.525/705.4334/764.988/522.01,427.45/249.225/373.8657/340.9532/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),9.5260515,20.0,5864100000.0,5363700000.0
"FIRSTCRY.NS, Long, 2026-02-09 (Price: 273.75)",No Exit Yet,"-3.18%, 4 days","100.0%, Past 4 years, 7","Daily, is CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 265.05), 3.18% below",4 days,"2, 2024-10-15 (Price: 734.0)",2026-02-06 (Price: 269.5),2026-02-09 (Price: 273.75),7/4/4 days,1.65% below/3.18% below/3.18% below,2024-10-15 (Price: 734.0)/2026-02-09 (Price: 267.0881),3.99%/1.36%/2.67%,"-0.0%, 9.48%",1 month/28 days/29 days,2026-03-24/2026-03-21/2026-03-23,53.15%,-35.35%,88.5%,0.48,-0.88,278.0205/281.0591/549.9/434.975/868.764/1053.4383/342.15,261.3/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),73.56945,20.0,-350520000.0,-502250000.0
"GICRE.NS, Long, 2026-02-09 (Price: 384.0)",No Exit Yet,"1.34%, 4 days","85.29%, Past 4 years, 34","Daily, is CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 389.15), 1.34% above",4 days,"2, 2025-12-30 (Price: 394.0)",2026-02-06 (Price: 380.55),2026-02-09 (Price: 384.0),7/4/4 days,2.26% above/1.34% above/1.34% above,2025-12-30 (Price: 394.0)/2026-02-09 (Price: 372.9176),12.84%/2.16%/4.81%,"10.75%, 19.23%",1.8 month/9 days/25 days,2026-04-28/2026-02-22/2026-03-17,18.77%,5.68%,13.09%,0.49,0.34,419.0976/402.4704/390.0/454.7/644.3771/977.6042/384.44,370.55/117.0/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),7.1100583,20.0,17256600000.0,16766200000.0
"GODREJCP.NS, Long, 2026-02-09 (Price: 1197.7)",No Exit Yet,"0.08%, 4 days","86.96%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 1198.6), 0.08% above",4 days,"0, 2024-07-23 (Price: 1525.0)",2026-02-06 (Price: 1181.8),2026-02-09 (Price: 1197.7),7/4/4 days,1.42% above/0.08% above/0.08% above,2024-07-23 (Price: 1525.0)/2026-02-09 (Price: 1161.3303),8.04%/0.9%/3.06%,"19.27%, 34.57%",1.8 month/7 days/20 days,2026-04-28/2026-02-19/2026-03-09,4.29%,6.56%,-2.27%,0.3,0.34,1222.4924/1234.3496/1394.08/1533.425/1565.7083/1668.836/1203.8,1146.4/897.875/1196.3583/1100.5347/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),66.98092,22.0,4979100000.0,4913100000.0
"KAJARIACER.NS, Long, 2026-02-09 (Price: 955.15)",No Exit Yet,"-0.25%, 4 days","96.43%, Past 4 years, 28","Daily, is CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 952.8), 0.25% below",4 days,"2, 2025-10-13 (Price: 1274.9)",2026-02-06 (Price: 940.45),2026-02-09 (Price: 955.15),7/4/4 days,1.31% above/0.25% below/0.25% below,2025-10-13 (Price: 1274.9)/2026-02-09 (Price: 925.6768),11.15%/1.6%/5.61%,"15.3%, 36.51%",2.8 months/8 days/20 days,2026-06-10/2026-02-20/2026-03-09,22.92%,8.82%,14.1%,0.86,0.45,1075.4989/1008.7339/1147.0/1549.1667/1587.8076/1900.3899/1093.71,883.65/891.65/952.9542/833.5933/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),37.216778,20.0,877200000.0,842700000.0
"MGL.NS, Long, 2026-02-09 (Price: 1181.2)",No Exit Yet,"-5.66%, 4 days","93.75%, Past 4 years, 16","Daily, is CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 1114.3), 5.66% below",4 days,"0, 2024-09-25 (Price: 1988.0)",2026-02-06 (Price: 1152.6),2026-02-09 (Price: 1181.2),7/4/4 days,3.32% below/5.66% below/5.66% below,2024-09-25 (Price: 1988.0)/2026-02-09 (Price: 1120.75),9.31%/1.18%/4.91%,"0.2%, 43.02%",3.1 months/7 days/26 days,2026-06-23/2026-02-19/2026-03-18,7.57%,1.29%,6.28%,1.24,0.11,1250.8908/1239.1969/1665.28/1583.45/2422.7314/3151.7157/1283.86,1028.6/672.9/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),11.523701,16.0,2011500000.0,2867900000.0
"NAVINFLUOR.NS, Long, 2026-02-09 (Price: 6598.0)",No Exit Yet,"-2.83%, 4 days","80.0%, Past 4 years, 15","Daily, is CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 6411.5), 2.83% below",4 days,"0, 2025-11-06 (Price: 6138.0)",2026-02-06 (Price: 6417.5),2026-02-09 (Price: 6598.0),7/4/4 days,0.09% below/2.83% below/2.83% below,2025-11-06 (Price: 6138.0)/2026-02-09 (Price: 6347.2308),15.23%/1.49%/6.95%,"30.7%, 37.6%",2.7 months/7 days/1 month,2026-06-06/2026-02-19/2026-03-24,6.66%,22.58%,-15.92%,-0.03,1.06,7078.9942/7056.561/6874.0/No Horizontal Resistance/6666.2406/7809.6842/No EMA 200 Target,5698.5/2887.6/5980.5841/4132.2473/No F-Track Level/No F-Track Level/5151.36,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),59.307602,20.0,1854000000.0,588200000.0
"GLAXO.NS, Long, 2026-02-06 (Price: 2484.0)",2026-02-13 (Price: 2634.7),"6.07%, 7 days","88.46%, Past 4 years, 26","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-13 (Price: 2634.7), 6.07% above",7 days,"2, 2025-05-28 (Price: 3398.0)",2026-02-05 (Price: 2444.6001),2026-02-06 (Price: 2484.0),8/7/7 days,7.78% above/6.07% above/6.07% above,2025-05-28 (Price: 3398.0)/2026-02-06 (Price: 2400.2013),13.61%/0.78%/4.84%,"2.25%, 21.55%",3.7 months/7 days/25 days,2026-07-16/2026-02-16/2026-03-14,18.36%,5.23%,13.13%,0.87,0.27,2684.9556/2604.2256/3032.4/2542.0/3926.723/4701.661/2794.85,2272.6/1229.0/2441.018/1752.6342/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),43.589783,20.0,2956200000.0,2525000000.0
"JINDALSTEL.NS, Long, 2026-02-05 (Price: 1178.0)",2026-02-12 (Price: 1203.4),"2.16%, 7 days","96.67%, Past 4 years, 30","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-13 (Price: 1181.5), 0.3% above",8 days,"2, 2020-01-16 (Price: 181.8)",2026-02-05 (Price: 1178.0),2026-02-05 (Price: 1178.0),8/8/8 days,0.3% above/0.3% above/0.3% above,2020-01-16 (Price: 181.8)/2026-02-05 (Price: 1166.34),10.17%/1.38%/4.87%,"6.9%, 30.08%",2.5 months/6 days/22 days,2026-05-24/2026-02-13/2026-03-08,26.03%,23.89%,2.14%,1.35,1.04,1292.1482/1235.3686/1775.72/No Horizontal Resistance/1159.8636/1297.5069/No EMA 200 Target,1010.3/343.55/1079.4257/822.3004/No F-Track Level/No F-Track Level/1000.87,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),60.328205,20.0,1904300000.0,8609000000.0
"BLUEDART.NS, Long, 2026-02-04 (Price: 5706.5)",2026-02-11 (Price: 5833.0),"2.22%, 7 days","87.5%, Past 4 years, 16","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-13 (Price: 5800.5), 1.65% above",9 days,"2, 2025-10-30 (Price: 7036.0)",2026-02-02 (Price: 5498.5),2026-02-04 (Price: 5706.5),11/9/9 days,5.49% above/1.65% above/1.65% above,2025-10-30 (Price: 7036.0)/2026-02-04 (Price: 5506.4884),10.93%/0.62%/3.9%,"7.53%, 20.9%",2.3 months/6 days/24 days,2026-05-14/2026-02-12/2026-03-10,13.08%,10.92%,2.16%,0.42,0.55,5980.412/5929.0535/6504.2/9564.3501/10230.0184/12084.9726/6020.06,5274.5/5417.225/5388.4319/5041.6923/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),54.351288,20.0,683300000.0,628400000.0
"CEATLTD.NS, Long, 2026-02-04 (Price: 3909.7)",2026-02-12 (Price: 3988.0),"2.0%, 8 days","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-13 (Price: 4034.5), 3.19% above",9 days,"4, 2025-10-23 (Price: 4438.0)",2026-02-03 (Price: 3880.7),2026-02-04 (Price: 3909.7),10/9/9 days,3.96% above/3.19% above/3.19% above,2025-10-23 (Price: 4438.0)/2026-02-04 (Price: 3811.0566),19.21%/1.46%/5.31%,"3.9%, 24.59%",4 months/6 days/1.5 month,2026-07-27/2026-02-12/2026-04-10,24.34%,17.32%,7.02%,0.92,0.82,4255.7085/4117.3051/4226.68/4044.0/4937.5719/5697.8144/No EMA 200 Target,3545.1/1265.1/3824.3322/3079.4707/No F-Track Level/No F-Track Level/3640.74,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),29.381536,20.0,1557700000.0,1218800000.0
"PTC.NS, Long, 2026-02-04 (Price: 181.72)",2026-02-13 (Price: 184.5),"1.53%, 9 days","93.75%, Past 4 years, 16","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-13 (Price: 184.5), 1.53% above",9 days,"6, 2024-01-12 (Price: 210.7)",2026-02-02 (Price: 169.77),2026-02-04 (Price: 181.72),11/9/9 days,8.68% above/1.53% above/1.53% above,2024-01-12 (Price: 210.7)/2026-02-04 (Price: 167.5352),21.03%/1.88%/6.92%,"23.64%, 47.9%",1.6 month/6 days/24 days,2026-04-14/2026-02-12/2026-03-10,2.71%,13.31%,-10.6%,0.54,0.63,190.4244/194.295/199.11/240.5167/281.0337/326.2748/No EMA 200 Target,152.8/79.325/129.6519/No support/No F-Track Level/No F-Track Level/172.73,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),6.1821537,16.0,1911900000.0,2172400000.0
"DALBHARAT.NS, Long, 2026-02-03 (Price: 2110.6001)",2026-02-12 (Price: 2171.2),"2.87%, 9 days","85.19%, Past 4 years, 27","Daily, is CONFIRMED on 2026-02-03",Already confirmed,"2026-02-13 (Price: 2155.2), 2.11% above",10 days,"8, 2025-09-08 (Price: 2447.8999)",2026-02-02 (Price: 2063.3999),2026-02-03 (Price: 2110.6001),11/10/10 days,4.45% above/2.11% above/2.11% above,2025-09-08 (Price: 2447.8999)/2026-02-03 (Price: 2025.5101),8.18%/2.04%/4.46%,"5.14%, 40.11%",7.7 months/7 days/2.2 months,2027-01-03/2026-02-13/2026-05-09,9.79%,11.45%,-1.66%,1.14,0.58,2150.2794/2204.7329/2312.98/2455.03/2806.0077/3418.0996/2145.35,2063.3/1669.9/1608.7998/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),34.093067,20.0,1220000000.0,460000000.0
"LINDEINDIA.NS, Long, 2026-02-03 (Price: 6003.5)",2026-02-12 (Price: 6440.5),"7.28%, 9 days","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2026-02-03",Already confirmed,"2026-02-13 (Price: 6734.0), 12.17% above",10 days,"0, 2024-09-23 (Price: 8744.75)",2026-02-02 (Price: 5930.5),2026-02-03 (Price: 6003.5),11/10/10 days,13.55% above/12.17% above/12.17% above,2024-09-23 (Price: 8744.75)/2026-02-03 (Price: 5907.0),37.57%/1.58%/13.39%,"16.54%, 34.41%",4.5 months/6 days/19 days,2026-08-17/2026-02-11/2026-03-02,26.6%,29.05%,-2.45%,0.58,1.32,6907.0268/6807.3687/7648.25/6045.0/10059.5422/11195.0707/6374.52,5843.5/2275.0/5190.2168/4425.7936/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),98.53432,20.0,1933250000.0,1064240000.0
"GLAXO.NS, Long, 2026-02-02 (Price: 2407.2)",2026-02-12 (Price: 2668.5),"10.85%, 10 days","88.46%, Past 4 years, 26","Daily, is CONFIRMED on 2026-02-02",Already confirmed,"2026-02-13 (Price: 2634.7), 9.45% above",11 days,"8, 2025-06-05 (Price: 3515.7)",2026-02-02 (Price: 2407.2),2026-02-02 (Price: 2407.2),11/11/11 days,9.45% above/9.45% above/9.45% above,2025-06-05 (Price: 3515.7)/2026-02-02 (Price: 2380.9895),13.61%/0.78%/4.84%,"2.25%, 21.55%",3.7 months/7 days/25 days,2026-07-12/2026-02-12/2026-03-10,18.36%,5.23%,13.13%,0.87,0.27,2601.9425/2523.7085/3072.3/2542.0/3926.723/4701.661/2803.29,2272.6/1229.0/1752.6342/1239.4046/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),43.583153,20.0,2956200000.0,2525000000.0
