"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price,PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"ICICIPRULI.NS, Long, 2026-02-04 (Price: 660.5)",No Exit Yet,"-1.26%, 5 days","95.65%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-09 (Price: 652.15), 1.26% below",5 days,"0, 2024-04-12 (Price: 629.0)",2026-02-02 (Price: 641.8),2026-02-04 (Price: 660.5),7/5/5 days,1.61% above/1.26% below/1.26% below,2024-04-12 (Price: 814.0495)/2026-02-04 (Price: 639.621),11.28%/1.18%/4.94%,"4.58%, 20.44%",1.6 month/8 days/20 days,2026-04-14/2026-02-15/2026-03-04,20.66%,3.07%,17.59%,1.19,0.18,721.5302/693.1287/679.4/685.075/895.0626/1195.5252/No EMA 200 Target,625.3/383.875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/626.54,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),658.45,67.89863,20.0,3871500000.0,2509900000.0
"JSWSTEEL.NS, Long, 2026-02-04 (Price: 1231.6)",No Exit Yet,"0.72%, 5 days","95.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-09 (Price: 1240.5), 0.72% above",5 days,"2, 2025-11-26 (Price: 1154.4)",2026-02-02 (Price: 1199.2),2026-02-04 (Price: 1231.6),7/5/5 days,3.44% above/0.72% above/0.72% above,2025-11-26 (Price: 1183.2827)/2026-02-04 (Price: 1208.8718),6.29%/0.36%/3.35%,"0.29%, 18.59%",1.4 month/8 days/18 days,2026-04-05/2026-02-15/2026-03-02,17.32%,17.9%,-0.58%,1.72,0.89,1407.103/1272.8586/1277.92/No Horizontal Resistance/1273.4822/1578.0809/No EMA 200 Target,1079.3/628.36/1205.6736/988.3992/No F-Track Level/No F-Track Level/1090.51,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1229.0,40.951283,20.0,21390000000.0,4390000000.0
"ORIENTCEM.NS, Long, 2026-02-04 (Price: 165.3)",No Exit Yet,"-0.04%, 5 days","87.5%, Past 4 years, 24","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-09 (Price: 165.24), 0.04% below",5 days,"4, 2025-07-24 (Price: 256.86)",2026-02-03 (Price: 162.02),2026-02-04 (Price: 165.3),6/5/5 days,1.99% above/0.04% below/0.04% below,2025-07-24 (Price: 273.2033)/2026-02-04 (Price: 160.763),16.35%/1.8%/7.83%,"15.43%, 37.7%",5.1 months/7 days/1.1 month,2026-09-13/2026-02-14/2026-03-23,25.44%,10.95%,14.49%,0.78,0.54,181.4663/178.243/220.24/366.4375/362.5742/449.9336/234.88,156.95/140.35/163.7371/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),162.02,10.531348,20.0,277994000.0,23247000.0
"POWERGRID.NS, Long, 2026-02-04 (Price: 289.3)",No Exit Yet,"0.6%, 5 days","80.95%, Past 4 years, 21","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-09 (Price: 291.05), 0.6% above",5 days,"2, 2025-12-12 (Price: 263.6)",2026-02-03 (Price: 283.2),2026-02-04 (Price: 289.3),6/5/5 days,2.77% above/0.6% above/0.6% above,2025-12-12 (Price: 266.8)/2026-02-04 (Price: 281.425),7.93%/1.17%/4.15%,"10.58%, 26.81%",2.2 months/7 days/1 month,2026-05-10/2026-02-14/2026-03-19,6.77%,11.32%,-4.55%,0.28,0.61,296.0118/301.306/304.72/364.375/417.9699/477.7786/No EMA 200 Target,254.05/141.1078/280.008/245.2878/No F-Track Level/No F-Track Level/284.02,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),288.8,18.880693,16.0,41849600000.0,37930200000.0
"PTC.NS, Long, 2026-02-04 (Price: 182.09)",No Exit Yet,"1.71%, 5 days","93.75%, Past 4 years, 16","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-09 (Price: 185.2), 1.71% above",5 days,"6, 2025-08-29 (Price: 175.11)",2026-02-02 (Price: 169.77),2026-02-04 (Price: 182.09),7/5/5 days,9.09% above/1.71% above/1.71% above,2025-08-29 (Price: 177.537)/2026-02-04 (Price: 167.5352),21.03%/1.88%/6.92%,"23.64%, 47.9%",1.6 month/6 days/24 days,2026-04-14/2026-02-12/2026-03-10,2.71%,13.31%,-10.6%,0.54,0.63,190.8121/194.6906/186.28/240.5167/281.0337/326.2748/No EMA 200 Target,152.8/79.325/129.6519/No support/No F-Track Level/No F-Track Level/172.73,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),174.0,6.3555856,16.0,1911900000.0,2172400000.0
"SUPREMEIND.NS, Long, 2026-02-04 (Price: 3709.8999)",No Exit Yet,"-0.62%, 5 days","80.0%, Past 4 years, 30","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-09 (Price: 3686.8999), 0.62% below",5 days,"4, 2025-08-11 (Price: 4354.7002)",2026-02-02 (Price: 3600.8),2026-02-04 (Price: 3709.8999),7/5/5 days,2.39% above/0.62% below/0.62% below,2025-08-11 (Price: 4763.6847)/2026-02-04 (Price: 3446.5545),17.14%/0.2%/5.4%,"19.0%, 43.75%",1.9 month/7 days/16 days,2026-04-27/2026-02-14/2026-02-27,13.78%,13.63%,0.15%,0.11,0.67,3951.0434/3910.2345/4096.78/4904.0249/6689.9666/7579.324/3957.05,3348.7/1903.7125/3098.3776/2561.5102/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),3686.8999,57.58621,20.0,1533700000.0,2066000000.0
"TIMKEN.NS, Long, 2026-02-04 (Price: 3252.8999)",No Exit Yet,"1.14%, 5 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-09 (Price: 3290.0), 1.14% above",5 days,"4, 2025-10-20 (Price: 2927.7)",2026-02-02 (Price: 3028.8),2026-02-04 (Price: 3252.8999),7/5/5 days,8.62% above/1.14% above/1.14% above,2025-10-20 (Price: 3190.8798)/2026-02-04 (Price: 3078.5603),24.95%/1.66%/9.08%,"23.82%, 42.34%",4.2 months/7 days/1.1 month,2026-08-05/2026-02-14/2026-03-23,4.99%,15.71%,-10.72%,0.41,0.75,3416.8461/3548.2632/3448.02/3534.6/4353.7859/4629.118/No EMA 200 Target,2941.6/1667.1167/3060.9508/2711.0127/No F-Track Level/No F-Track Level/3062.39,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),3165.1001,56.176983,20.0,545560000.0,899480000.0
"FINEORG.NS, Long, 2026-02-02 (Price: 4265.7002)",2026-02-06 (Price: 4412.7998),"3.45%, 4 days","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2026-02-02",Already confirmed,"2026-02-09 (Price: 4437.7998), 4.03% above",7 days,"2, 2025-11-14 (Price: 4515.8999)",2026-02-02 (Price: 4265.7002),2026-02-02 (Price: 4265.7002),7/7/7 days,4.03% above/4.03% above/4.03% above,2025-11-14 (Price: 4800.5314)/2026-02-02 (Price: 4171.7687),6.85%/1.13%/3.55%,"10.82%, 33.01%",3.6 months/6 days/21 days,2026-07-08/2026-02-10/2026-03-04,13.51%,9.88%,3.63%,0.45,0.49,4434.1954/4417.1326/4415.82/6049.375/7126.5561/8749.684/4600.67,3886.8/2762.0999/3902.6753/3301.8591/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),4166.1001,35.228886,20.0,1085463000.0,1174413000.0
"SUPREMEIND.NS, Long, 2026-02-02 (Price: 3600.8)",2026-02-06 (Price: 3678.6001),"2.16%, 4 days","80.0%, Past 4 years, 30","Daily, is CONFIRMED on 2026-02-02",Already confirmed,"2026-02-09 (Price: 3686.8999), 2.39% above",7 days,"4, 2025-08-07 (Price: 4176.7998)",2026-02-02 (Price: 3600.8),2026-02-02 (Price: 3600.8),7/7/7 days,2.39% above/2.39% above/2.39% above,2025-08-07 (Price: 4785.6368)/2026-02-02 (Price: 3468.5067),17.14%/0.2%/5.4%,"19.0%, 43.75%",1.9 month/7 days/16 days,2026-04-25/2026-02-12/2026-02-25,13.78%,13.63%,0.15%,0.11,0.67,3834.852/3795.2432/3946.4/4904.0249/6689.9666/7579.324/3954.08,3348.7/1903.7125/3098.3776/2561.5102/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),3485.0,57.58621,20.0,1533700000.0,2066000000.0
"ARVIND.NS, Long, 2026-02-01 (Price: 330.25)",2026-02-06 (Price: 368.15),"11.48%, 5 days","90.48%, Past 4 years, 21","Daily, is CONFIRMED on 2026-02-01",Already confirmed,"2026-02-09 (Price: 384.9), 16.55% above",8 days,"2, 2025-11-24 (Price: 359.5)",2026-01-29 (Price: 297.25),2026-02-01 (Price: 330.25),11/8/8 days,29.49% above/16.55% above/16.55% above,2025-11-24 (Price: 367.7404)/2026-02-01 (Price: 290.2942),22.87%/3.67%/8.34%,"10.12%, 23.62%",4.4 months/8 days/1.4 month,2026-08-11/2026-02-12/2026-04-02,32.52%,28.05%,4.47%,0.75,1.15,353.7638/357.7928/347.8/No Horizontal Resistance/418.079/516.8303/330.26,292.65/82.7667/321.2878/265.2036/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),297.05,23.833225,20.0,975900000.0,1034200000.0
"ABB.NS, Long, 2026-01-30 (Price: 5578.5)",2026-02-06 (Price: 5816.0),"4.26%, 7 days","100.0%, Past 4 years, 31","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-09 (Price: 5806.5), 4.09% above",10 days,"2, 2025-11-13 (Price: 4913.0)",2026-01-30 (Price: 5578.5),2026-01-30 (Price: 5578.5),10/10/10 days,4.09% above/4.09% above/4.09% above,2025-11-13 (Price: 5180.9785)/2026-01-30 (Price: 5454.2804),12.46%/0.94%/5.15%,"-0.0%, 11.53%",2.8 months/7 days/19 days,2026-05-31/2026-02-09/2026-02-26,30.65%,17.94%,12.71%,1.44,0.9,6222.2589/5865.7928/5977.8/9045.2749/9135.1869/10688.1997/No EMA 200 Target,4691.5/1944.25/4980.3043/3949.3004/No F-Track Level/No F-Track Level/5382.92,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),5440.0,70.586815,20.0,3517400000.0,4434900000.0
"DELHIVERY.NS, Long, 2026-01-30 (Price: 422.95)",2026-02-05 (Price: 444.1),"5.0%, 6 days","100.0%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-09 (Price: 434.5), 2.73% above",10 days,"4, 2025-10-16 (Price: 446.8)",2026-01-30 (Price: 422.95),2026-01-30 (Price: 422.95),10/10/10 days,2.73% above/2.73% above/2.73% above,2025-10-16 (Price: 494.509)/2026-01-30 (Price: 408.6231),16.05%/1.24%/6.08%,"-0.0%, 26.92%",3.6 months/4 days/17 days,2026-07-05/2026-02-04/2026-02-23,37.01%,-5.11%,42.12%,1.27,-0.12,455.3057/448.6654/437.26/489.0333/847.539/894.3863/No EMA 200 Target,378.5/356.05/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/410.15,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),411.0,217.975,20.0,395890000.0,102040000.0
"CONCOR.NS, Long, 2026-01-29 (Price: 500.6)",2026-02-06 (Price: 509.5),"1.78%, 8 days","100.0%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-29",Already confirmed,"2026-02-09 (Price: 511.6), 2.2% above",11 days,"6, 2025-05-13 (Price: 551.52)",2026-01-28 (Price: 496.35),2026-01-29 (Price: 500.6),12/11/11 days,3.07% above/2.2% above/2.2% above,2025-05-13 (Price: 668.1356)/2026-01-29 (Price: 488.4737),14.72%/1.4%/6.13%,"-0.0%, 19.39%",18 days/7 days/11 days,2026-02-24/2026-02-08/2026-02-13,17.15%,-1.47%,18.62%,1.25,0.01,508.4594/531.2868/531.15/824.1/1482.8544/2006.64/552.58,479.75/No Horizontal Support/477.9552/455.2414/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),499.5,30.589634,20.0,3339100000.0,3666500000.0
"RAMCOCEM.NS, Long, 2026-01-29 (Price: 1102.0)",2026-02-06 (Price: 1160.9),"5.34%, 8 days","88.46%, Past 4 years, 26","Daily, is CONFIRMED on 2026-01-29",Already confirmed,"2026-02-09 (Price: 1179.8), 7.06% above",11 days,"8, 2025-07-01 (Price: 1077.2)",2026-01-27 (Price: 1071.3),2026-01-29 (Price: 1102.0),13/11/11 days,10.13% above/7.06% above/7.06% above,2025-07-01 (Price: 1226.4422)/2026-01-29 (Price: 1035.6321),10.11%/1.95%/4.65%,"5.08%, 15.9%",1.9 month/6 days/15 days,2026-04-21/2026-02-06/2026-02-19,18.67%,4.22%,14.45%,0.83,0.22,1161.0672/1153.243/1116.88/1120.7667/1308.8687/1830.6329/No EMA 200 Target,1055.0/638.05/1015.8053/849.9372/No F-Track Level/No F-Track Level/1043.42,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1060.0,48.007397,20.0,850300000.0,371600000.0
"ICICIBANK.NS, Long, 2026-01-28 (Price: 1367.7)",2026-02-06 (Price: 1406.1),"2.81%, 9 days","100.0%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-28",Already confirmed,"2026-02-09 (Price: 1397.4), 2.17% above",12 days,"6, 2025-07-25 (Price: 1477.1)",2026-01-27 (Price: 1361.4),2026-01-28 (Price: 1367.7),13/12/12 days,2.64% above/2.17% above/2.17% above,2025-07-25 (Price: 1502.5953)/2026-01-28 (Price: 1360.1577),9.04%/0.91%/3.54%,"-0.0%, 11.14%",5 months/6 days/1.3 month,2026-09-02/2026-02-05/2026-03-25,14.19%,11.38%,2.81%,1.15,0.6,1450.4459/1416.1166/1433.34/1472.2/1798.3881/1910.4757/1405.08,1343.4/667.475/1225.11/887.0127/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1362.6,19.18565,20.0,125379800000.0,128833700000.0
"KARURVYSYA.NS, Long, 2026-01-28 (Price: 293.8)",2026-02-06 (Price: 318.1),"8.27%, 9 days","100.0%, Past 4 years, 16","Daily, is CONFIRMED on 2026-01-28",Already confirmed,"2026-02-09 (Price: 323.25), 10.02% above",12 days,"2, 2025-11-19 (Price: 253.7)",2026-01-28 (Price: 293.8),2026-01-28 (Price: 293.8),12/12/12 days,10.02% above/10.02% above/10.02% above,2025-11-19 (Price: 253.535)/2026-01-28 (Price: 290.0079),13.94%/0.76%/7.32%,"0%, 29.48%",8.8 months/4 days/1.7 month,2027-02-14/2026-02-02/2026-04-11,27.7%,20.71%,6.99%,1.53,0.94,314.8067/315.3062/317.86/No Horizontal Resistance/378.1489/404.4977/No EMA 200 Target,254.75/35.2917/260.8363/240.1393/No F-Track Level/No F-Track Level/223.02,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),292.55,13.670727,20.0,6899600000.0,4736000000.0
"SONACOMS.NS, Long, 2026-01-28 (Price: 494.1)",2026-02-06 (Price: 513.5),"3.93%, 9 days","92.86%, Past 4 years, 14","Daily, is CONFIRMED on 2026-01-28",Already confirmed,"2026-02-09 (Price: 532.2), 7.71% above",12 days,"2, 2025-11-19 (Price: 506.95)",2026-01-27 (Price: 487.8),2026-01-28 (Price: 494.1),13/12/12 days,9.1% above/7.71% above/7.71% above,2025-11-19 (Price: 522.7274)/2026-01-28 (Price: 478.707),11.9%/1.45%/7.17%,"4.24%, 32.82%",4.3 months/8 days/1 month,2026-08-02/2026-02-08/2026-03-12,16.73%,4.98%,11.75%,1.54,0.28,523.9436/529.527/501.81/766.575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,444.45/400.4833/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/473.94,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),489.5,53.80952,20.0,1507750000.0,1439450000.0
"ONGC.NS, Long, 2026-01-27 (Price: 247.95)",2026-02-06 (Price: 268.95),"8.47%, 10 days","91.67%, Past 4 years, 24","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-02-09 (Price: 266.25), 7.38% above",13 days,"4, 2025-10-13 (Price: 244.09)",2026-01-23 (Price: 245.47),2026-01-27 (Price: 247.95),17/13/13 days,8.47% above/7.38% above/7.38% above,2025-10-13 (Price: 260.4751)/2026-01-27 (Price: 243.4091),10.88%/0.89%/3.86%,"24.99%, 35.67%",3.1 months/6 days/29 days,2026-06-10/2026-02-04/2026-03-10,19.99%,7.51%,12.48%,0.38,0.39,265.9264/257.5209/250.27/288.95/395.3909/427.6239/No EMA 200 Target,231.42/120.675/211.1894/135.2818/No F-Track Level/No F-Track Level/242.12,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),246.6,9.349021,20.0,107848800000.0,102354600000.0
"GRINDWELL.NS, Long, 2026-01-13 (Price: 1577.7)",2026-02-09 (Price: 1665.8) (Today),"5.58%, 27 days","78.57%, Past 4 years, 28","Daily, is CONFIRMED on 2026-01-13",Already confirmed,"2026-02-09 (Price: 1665.8), 5.58% above",27 days,"2, 2025-10-27 (Price: 1584.4)",2026-01-12 (Price: 1562.6),2026-01-13 (Price: 1577.7),28/27/27 days,6.6% above/5.58% above/5.58% above,2025-10-27 (Price: 1760.5037)/2026-01-13 (Price: 1549.6826),7.91%/1.15%/3.64%,"6.5%, 27.85%",2.7 months/7 days/24 days,2026-05-10/2026-01-23/2026-02-16,20.43%,12.47%,7.96%,0.6,0.62,1721.4285/1635.1283/1581.72/2481.55/3635.8171/4830.1238/1644.21,1557.9/1373.025/1411.3582/1230.7526/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1553.0,48.21692,20.0,951676000.0,961866000.0
"CEATLTD.NS, Long, 2026-01-08 (Price: 3850.6001)",2026-02-09 (Price: 4021.8999) (Today),"4.45%, 1.1 month","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2026-01-08",Already confirmed,"2026-02-09 (Price: 4021.8999), 4.45% above",1.1 month,"2, 2025-10-21 (Price: 4289.7002)",2026-01-07 (Price: 3783.6001),2026-01-08 (Price: 3850.6001),33/32/32 days,6.3% above/4.45% above/4.45% above,2025-10-21 (Price: 4429.1329)/2026-01-08 (Price: 3753.4494),19.21%/1.46%/5.31%,"3.9%, 24.59%",4 months/6 days/1.5 month,2026-06-30/2026-01-16/2026-03-14,24.34%,17.32%,7.02%,0.92,0.82,4191.3782/4055.067/4114.06/4044.0/4937.5719/5697.8144/No EMA 200 Target,3703.5/1265.1/3824.3322/3079.4707/No F-Track Level/No F-Track Level/3558.66,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),3785.8,29.260937,20.0,1557700000.0,1218800000.0
"GRINDWELL.NS, Long, 2026-01-06 (Price: 1599.9)",2026-02-09 (Price: 1665.8) (Today),"4.12%, 1.1 month","78.57%, Past 4 years, 28","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-02-09 (Price: 1665.8), 4.12% above",1.1 month,"2, 2025-10-28 (Price: 1549.8)",2026-01-06 (Price: 1599.9),2026-01-06 (Price: 1599.9),34/34/34 days,4.12% above/4.12% above/4.12% above,2025-10-28 (Price: 1756.5996)/2026-01-06 (Price: 1569.2031),7.91%/1.15%/3.64%,"6.5%, 27.85%",2.7 months/7 days/24 days,2026-05-03/2026-01-16/2026-02-09,20.43%,12.47%,7.96%,0.6,0.62,1745.6509/1658.1364/1629.96/2481.55/3635.8171/4830.1238/1646.82,1557.9/1373.025/1411.3582/1230.7526/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1571.2,48.21692,20.0,951676000.0,961866000.0
"POWERGRID.NS, Long, 2026-01-05 (Price: 271.65)",2026-02-06 (Price: 292.75),"7.77%, 1.1 month","80.95%, Past 4 years, 21","Daily, is CONFIRMED on 2026-01-05",Already confirmed,"2026-02-09 (Price: 291.05), 7.14% above",1.2 month,"2, 2025-10-27 (Price: 291.05)",2026-01-01 (Price: 266.8),2026-01-05 (Price: 271.65),39/35/35 days,9.09% above/7.14% above/7.14% above,2025-10-27 (Price: 294.0391)/2026-01-05 (Price: 262.8352),7.93%/1.17%/4.15%,"10.58%, 26.81%",2.2 months/7 days/1 month,2026-04-10/2026-01-15/2026-02-17,6.77%,11.32%,-4.55%,0.28,0.61,277.9523/282.9235/283.29/364.375/417.9699/477.7786/287.03,257.95/141.1078/245.2878/215.3476/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),271.25,18.880693,16.0,41849600000.0,37930200000.0
"ASTRAL.NS, Long, 2026-01-02 (Price: 1453.4)",2026-02-06 (Price: 1472.2),"1.29%, 1.2 month","100.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-01-02",Already confirmed,"2026-02-09 (Price: 1478.1), 1.7% above",1.3 month,"2, 2025-11-12 (Price: 1585.2)",2026-01-01 (Price: 1434.9),2026-01-02 (Price: 1453.4),39/38/38 days,3.01% above/1.7% above/1.7% above,2025-11-12 (Price: 1598.8)/2026-01-02 (Price: 1408.0),11.6%/1.64%/5.41%,"0%, 19.25%",5.6 months/7 days/2.1 months,2026-09-02/2026-01-12/2026-04-03,23.78%,9.71%,14.07%,2.02,0.49,1578.3924/1532.0289/1532.48/2017.7/3052.2879/4138.8379/No EMA 200 Target,1360.3/1277.2406/1251.9665/1080.3662/No F-Track Level/No F-Track Level/1422.26,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1443.0,81.58679,20.0,1077000000.0,1100000000.0
"STARHEALTH.NS, Long, 2025-12-31 (Price: 455.0)",2026-02-05 (Price: 464.9),"2.18%, 1.2 month","100.0%, Past 4 years, 6","Daily, is CONFIRMED on 2025-12-31",Already confirmed,"2026-02-09 (Price: 463.3), 1.82% above",1.3 month,"2, 2025-11-10 (Price: 490.75)",2025-12-31 (Price: 455.0),2025-12-31 (Price: 455.0),40/40/40 days,1.82% above/1.82% above/1.82% above,2025-11-10 (Price: 548.325)/2025-12-31 (Price: 445.185),2.27%/0.76%/1.43%,"0%, 37.06%",27 days/17 days/23 days,2026-02-08/2026-01-24/2026-02-02,7.03%,-11.06%,18.09%,2.05,-0.53,482.6185/461.5065/476.45/770.1/1161.6766/1542.2852/No EMA 200 Target,441.7/453.75/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/438.97,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),448.0,61.67763,20.0,1282200000.0,1112900000.0
"GRINDWELL.NS, Long, 2025-12-30 (Price: 1597.0)",2026-02-09 (Price: 1665.8) (Today),"4.31%, 1.4 month","78.57%, Past 4 years, 28","Daily, is CONFIRMED on 2025-12-30",Already confirmed,"2026-02-09 (Price: 1665.8), 4.31% above",1.4 month,"2, 2025-10-29 (Price: 1573.5)",2025-12-30 (Price: 1597.0),2025-12-30 (Price: 1597.0),41/41/41 days,4.31% above/4.31% above/4.31% above,2025-10-29 (Price: 1757.9704)/2025-12-30 (Price: 1565.3926),7.91%/1.15%/3.64%,"6.5%, 27.85%",2.7 months/7 days/24 days,2026-04-26/2026-01-09/2026-02-02,20.43%,12.47%,7.96%,0.6,0.62,1742.4867/1655.1308/1611.1/2481.55/3635.8171/4830.1238/1646.53,1536.9/1373.025/1411.3582/1230.7526/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1570.1,48.21692,20.0,951676000.0,961866000.0
"ADANIPORTS.NS, Long, 2025-12-19 (Price: 1496.4)",2026-02-09 (Price: 1564.2) (Today),"4.53%, 1.7 month","85.71%, Past 4 years, 21","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2026-02-09 (Price: 1564.2), 4.53% above",1.7 month,"0, 2024-02-23 (Price: 1320.7)",2025-12-18 (Price: 1495.7),2025-12-19 (Price: 1496.4),53/52/52 days,4.58% above/4.53% above/4.53% above,2024-02-23 (Price: 1506.4663)/2025-12-19 (Price: 1488.7697),11.99%/1.12%/5.02%,"18.11%, 48.65%",2.6 months/7 days/25 days,2026-04-10/2025-12-29/2026-01-24,13.7%,17.85%,-4.15%,0.11,0.84,1656.3652/1571.5193/1601.82/1613.175/2003.147/2236.9645/No EMA 200 Target,1480.5/647.7167/1478.5087/1311.4082/No F-Track Level/No F-Track Level/1369.74,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1495.0,26.907234,20.0,30536100000.0,24450000000.0
