"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"SUNTV.NS, Long, 2026-01-23 (Price: 563.95)",2026-02-16 (Price: 570.5),"1.16%, 24 days","92.31%, Past 4 years, 26","Daily, is CONFIRMED on 2026-01-23",Already confirmed,"2026-02-17 (Price: 587.65), 4.2% above",25 days,"10, 2024-07-15 (Price: 823.45)",2026-01-23 (Price: 563.95),2026-01-23 (Price: 563.95),25/25/25 days,4.2% above/4.2% above/4.2% above,2024-07-15 (Price: 823.45)/2026-01-23 (Price: 544.3314),7.09%/1.38%/3.34%,"8.87%, 23.69%",1.9 month/7 days/25 days,2026-04-15/2026-02-02/2026-02-28,13.17%,2.48%,10.69%,0.37,0.15,595.7568/582.7859/719.65/614.4/1393.8258/1478.6185/582.33,542.1/398.175/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),14.720558,20.0,3240600000.0,3634200000.0
"TORNTPHARM.NS, Long, 2026-01-14 (Price: 4003.7)",2026-02-13 (Price: 4110.6001),"2.67%, 1 month","89.47%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-14",Already confirmed,"2026-02-17 (Price: 4228.0), 5.6% above",1.1 month,"2, 2020-01-20 (Price: 1036.825)",2026-01-12 (Price: 3949.8),2026-01-14 (Price: 4003.7),36/34/34 days,7.04% above/5.6% above/5.6% above,2020-01-20 (Price: 1036.825)/2026-01-14 (Price: 3900.767),10.37%/2.17%/4.86%,"10.73%, 21.85%",3.5 months/7 days/23 days,2026-06-15/2026-01-24/2026-02-16,11.61%,17.87%,-6.26%,0.44,1.01,4209.0898/4198.2798/5783.82/No Horizontal Resistance/4350.1862/7020.1077/No EMA 200 Target,3759.5/1253.55/2700.084/1680.2647/No F-Track Level/No F-Track Level/3514.4,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),63.320953,20.0,6350000000.0,5030000000.0
"LINDEINDIA.NS, Long, 2026-01-12 (Price: 6105.0)",2026-02-13 (Price: 6734.0),"10.3%, 1.1 month","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-02-17 (Price: 6815.0), 11.63% above",1.2 month,"6, 2025-09-17 (Price: 6600.0)",2026-01-09 (Price: 5907.5),2026-01-12 (Price: 6105.0),39/36/36 days,15.36% above/11.63% above/11.63% above,2025-09-17 (Price: 6600.0)/2026-01-12 (Price: 5870.7781),37.57%/1.58%/13.39%,"16.54%, 34.41%",4.5 months/6 days/19 days,2026-07-26/2026-01-20/2026-02-08,26.6%,29.05%,-2.45%,0.58,1.32,7023.8025/6922.4595/6402.0/No Horizontal Resistance/10059.5422/11195.0707/6383.79,5878.0/2275.0/5190.2168/4425.7936/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),98.891785,20.0,1933250000.0,1064240000.0
"EICHERMOT.NS, Long, 2026-01-06 (Price: 7522.5)",2026-02-17 (Price: 8029.0),"6.73%, 1.4 month","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-02-17 (Price: 8029.0), 6.73% above",1.4 month,"2, 2020-01-17 (Price: 2177.0)",2026-01-05 (Price: 7482.5),2026-01-06 (Price: 7522.5),43/42/42 days,7.3% above/6.73% above/6.73% above,2020-01-17 (Price: 2177.0)/2026-01-06 (Price: 7466.4534),10.11%/1.33%/4.38%,"4.7%, 19.12%",3.4 months/8 days/22 days,2026-06-02/2026-01-17/2026-02-06,23.6%,14.99%,8.61%,1.15,0.79,8414.6685/7851.9855/10729.8/No Horizontal Resistance/9416.2354/14426.4332/No EMA 200 Target,7061.5/2324.5667/6319.7878/5538.8055/No F-Track Level/No F-Track Level/6174.62,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),41.341312,20.0,14206100000.0,11705000000.0
"MFSL.NS, Long, 2026-01-06 (Price: 1731.3)",2026-02-17 (Price: 1860.6),"7.47%, 1.4 month","80.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-02-17 (Price: 1860.6), 7.47% above",1.4 month,"2, 2025-11-27 (Price: 1751.4)",2026-01-06 (Price: 1731.3),2026-01-06 (Price: 1731.3),42/42/42 days,7.47% above/7.47% above/7.47% above,2025-11-27 (Price: 1751.4)/2026-01-06 (Price: 1689.4338),9.23%/2.35%/5.66%,"17.53%, 28.68%",4.1 months/8 days/1.6 month,2026-07-01/2026-01-17/2026-03-16,13.68%,14.49%,-0.81%,0.13,0.7,1811.8054/1829.2916/1743.36/No Horizontal Resistance/1792.5323/1920.7069/No EMA 200 Target,1634.4/698.25/1557.7732/1423.1278/No F-Track Level/No F-Track Level/1519.03,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),437.48236,20.0,365600000.0,560400000.0
"VOLTAS.NS, Long, 2026-01-05 (Price: 1476.8)",2026-02-17 (Price: 1524.0),"3.2%, 1.4 month","91.67%, Past 4 years, 24","Daily, is CONFIRMED on 2026-01-05",Already confirmed,"2026-02-17 (Price: 1524.0), 3.2% above",1.4 month,"2, 2021-01-14 (Price: 926.9)",2026-01-05 (Price: 1476.8),2026-01-05 (Price: 1476.8),43/43/43 days,3.2% above/3.2% above/3.2% above,2021-01-14 (Price: 926.9)/2026-01-05 (Price: 1430.3373),9.42%/0.74%/5.22%,"22.51%, 42.06%",2.5 months/7 days/23 days,2026-04-23/2026-01-15/2026-02-07,0.77%,9.18%,-8.41%,0.43,0.47,1565.1126/1553.889/1806.74/1505.42/2077.6512/2362.323/No EMA 200 Target,1350.7/748.3167/1474.0338/925.0392/No F-Track Level/No F-Track Level/1346.43,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),100.81849,20.0,849500000.0,1321300000.0
"INDUSTOWER.NS, Long, 2026-01-02 (Price: 442.05)",2026-02-12 (Price: 474.0),"7.23%, 1.4 month","90.91%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-02",Already confirmed,"2026-02-17 (Price: 471.05), 6.56% above",1.5 month,"2, 2020-01-31 (Price: 253.8)",2026-01-01 (Price: 435.8),2026-01-02 (Price: 442.05),47/46/46 days,8.09% above/6.56% above/6.56% above,2020-01-31 (Price: 253.8)/2026-01-02 (Price: 425.2362),13.57%/1.77%/5.88%,"27.11%, 40.32%",3.5 months/9 days/1.4 month,2026-06-03/2026-01-15/2026-03-03,8.56%,5.73%,2.83%,0.28,0.34,477.9445/468.0425/555.0/No Horizontal Resistance/523.2332/555.9965/No EMA 200 Target,396.6/135.475/395.8332/348.1734/No F-Track Level/No F-Track Level/379.71,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),17.536045,20.0,17759000000.0,22235000000.0
"MARICO.NS, Long, 2025-12-29 (Price: 753.1)",2026-02-16 (Price: 769.25),"2.14%, 1.6 month","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2025-12-29",Already confirmed,"2026-02-17 (Price: 773.35), 2.69% above",1.7 month,"0, 2025-02-01 (Price: 736.9)",2025-12-26 (Price: 743.3),2025-12-29 (Price: 753.1),53/50/50 days,4.04% above/2.69% above/2.69% above,2025-02-01 (Price: 736.9)/2025-12-29 (Price: 740.4226),11.52%/0.25%/5.67%,"6.69%, 16.65%",5.5 months/9 days/2.7 months,2026-08-24/2026-01-11/2026-04-25,9.67%,9.72%,-0.05%,0.92,0.55,775.6177/795.8008/762.82/No Horizontal Resistance/780.6284/1093.2176/No EMA 200 Target,734.75/464.475/700.3657/587.4392/No F-Track Level/No F-Track Level/710.02,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),58.62708,22.0,4470000000.0,3990000000.0
"EKC.NS, Long, 2025-12-23 (Price: 117.65)",2026-02-12 (Price: 124.11),"5.49%, 1.7 month","94.74%, Past 4 years, 19","Daily, is CONFIRMED on 2025-12-23",Already confirmed,"2026-02-17 (Price: 123.52), 4.99% above",1.9 month,"2, 2025-10-27 (Price: 154.55)",2025-12-19 (Price: 115.41),2025-12-23 (Price: 117.65),60/56/56 days,7.03% above/4.99% above/4.99% above,2025-10-27 (Price: 154.55)/2025-12-23 (Price: 112.6712),82.13%/2.33%/15.85%,"6.58%, 38.07%",3.7 months/6 days/23 days,2026-06-01/2025-12-31/2026-01-25,38.86%,20.05%,18.81%,0.85,0.85,137.0623/136.2975/139.79/178.5/No Next Fib Ext/No Next Fib Ext/131.75,111.17/66.4/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),12.134577,20.0,136700000.0,384700000.0
"LINDEINDIA.NS, Long, 2025-12-12 (Price: 6008.5)",2026-02-12 (Price: 6440.5),"7.19%, 2.1 months","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2025-12-12",Already confirmed,"2026-02-17 (Price: 6815.0), 13.42% above",2.2 months,"4, 2025-09-17 (Price: 6600.0)",2025-12-11 (Price: 5971.5),2025-12-12 (Price: 6008.5),68/67/67 days,14.13% above/13.42% above/13.42% above,2025-09-17 (Price: 6600.0)/2025-12-12 (Price: 5917.2771),37.57%/1.58%/13.39%,"16.54%, 34.41%",4.5 months/6 days/19 days,2026-06-25/2025-12-20/2026-01-08,26.6%,29.05%,-2.45%,0.58,1.32,6912.7793/6813.0382/6363.4/6045.0/10059.5422/11195.0707/6402.69,5771.0/2275.0/5190.2168/4425.7936/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),98.884544,20.0,1933250000.0,1064240000.0
"MOTHERSON.NS, Long, 2025-12-12 (Price: 121.3)",2026-02-13 (Price: 133.04),"9.68%, 2.1 months","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2025-12-12",Already confirmed,"2026-02-17 (Price: 132.43), 9.18% above",2.2 months,"8, 2024-02-12 (Price: 82.2667)",2025-12-11 (Price: 119.8),2025-12-12 (Price: 121.3),68/67/67 days,10.54% above/9.18% above/9.18% above,2024-02-12 (Price: 82.2667)/2025-12-12 (Price: 116.3525),18.29%/3.3%/9.71%,"34.41%, 47.46%",3.3 months/8 days/22 days,2026-05-04/2025-12-23/2026-01-12,19.17%,13.75%,5.42%,0.67,0.65,135.0069/133.0782/144.72/No Horizontal Resistance/153.8589/163.7818/No EMA 200 Target,115.3/41.2/111.9154/102.2779/No F-Track Level/No F-Track Level/98.89,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),40.96605,20.0,10237000000.0,8786300000.0
"LINDEINDIA.NS, Long, 2025-11-20 (Price: 6125.5)",2026-02-13 (Price: 6734.0),"9.93%, 2.8 months","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2025-11-20",Already confirmed,"2026-02-17 (Price: 6815.0), 11.26% above",3 months,"2, 2025-09-09 (Price: 6568.0)",2025-11-19 (Price: 6076.5),2025-11-20 (Price: 6125.5),90/89/89 days,12.15% above/11.26% above/11.26% above,2025-09-09 (Price: 6568.0)/2025-11-20 (Price: 5995.4409),37.57%/1.58%/13.39%,"16.54%, 34.41%",4.5 months/6 days/19 days,2026-06-03/2025-11-28/2025-12-17,26.6%,29.05%,-2.45%,0.58,1.32,7047.3878/6945.7045/6391.0/No Horizontal Resistance/10059.5422/11195.0707/6410.61,5695.5/2275.0/5190.2168/4425.7936/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),98.884544,20.0,1933250000.0,1064240000.0
"MFSL.NS, Long, 2025-11-12 (Price: 1718.8)",2026-02-13 (Price: 1838.5),"6.96%, 3.1 months","80.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2026-02-17 (Price: 1860.6), 8.25% above",3.2 months,"4, 2025-08-18 (Price: 1674.8)",2025-11-12 (Price: 1718.8),2025-11-12 (Price: 1718.8),97/97/97 days,8.25% above/8.25% above/8.25% above,2025-08-18 (Price: 1674.8)/2025-11-12 (Price: 1626.0437),9.23%/2.35%/5.66%,"17.53%, 28.68%",4.1 months/8 days/1.6 month,2026-05-07/2025-11-23/2026-01-20,13.68%,14.49%,-0.81%,0.13,0.7,1798.7242/1816.0841/1745.2/No Horizontal Resistance/1792.5323/1920.7069/No EMA 200 Target,1513.6/698.25/1557.7732/1423.1278/No F-Track Level/No F-Track Level/1399.25,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),437.36472,20.0,365600000.0,560400000.0
"3MINDIA.NS, Long, 2025-11-06 (Price: 35790.0)",2026-02-16 (Price: 35760.0),"-0.08%, 3.4 months","95.65%, Past 4 years, 23","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2026-02-17 (Price: 35920.0), 0.36% above",3.4 months,"4, 2025-07-24 (Price: 32090.0)",2025-11-03 (Price: 30700.0),2025-11-06 (Price: 35790.0),106/103/103 days,17.0% above/0.36% above/0.36% above,2025-07-24 (Price: 32090.0)/2025-11-06 (Price: 30882.1179),17.13%/0.78%/4.21%,"17.06%, 33.38%",3.5 months/7 days/1.2 month,2026-04-07/2025-11-16/2025-12-28,12.9%,5.99%,6.91%,0.47,0.31,38950.257/37296.759/38010.0/40366.3008/41670.7979/47812.9181/No EMA 200 Target,28930.0/21991.6748/26096.5564/16471.1415/No F-Track Level/No F-Track Level/29439.28,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),107.46842,20.0,-620539000.0,1337808000.0
"GATEWAY.NS, Long, 2025-10-30 (Price: 64.14)",2026-02-16 (Price: 58.03),"-9.53%, 3.6 months","78.57%, Past 4 years, 14","Daily, is CONFIRMED on 2025-10-30",Already confirmed,"2026-02-17 (Price: 58.65), 8.56% below",3.7 months,"2, 2024-10-25 (Price: 98.91)",2025-10-29 (Price: 63.23),2025-10-30 (Price: 64.14),111/110/110 days,7.24% below/8.56% below/8.56% below,2024-10-25 (Price: 98.91)/2025-10-30 (Price: 62.6939),6.84%/3.37%/4.33%,"41.91%, 48.06%",2.8 months/6 days/21 days,2026-02-28/2025-11-07/2025-11-29,-11.92%,-3.26%,-8.66%,-0.09,-0.15,65.1919/66.9173/85.0/92.65/No Next Fib Ext/No Next Fib Ext/65.71,61.98/57.7/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),1963.3334,20.0,678439000.0,599121000.0
"GLAXO.NS, Long, 2025-10-20 (Price: 2745.7)",2026-02-17 (Price: 2614.7),"-4.77%, 4 months","88.46%, Past 4 years, 26","Daily, is CONFIRMED on 2025-10-20",Already confirmed,"2026-02-17 (Price: 2614.7), 4.77% below",4 months,"2, 2025-08-25 (Price: 2869.0)",2025-10-17 (Price: 2742.8999),2025-10-20 (Price: 2745.7),123/120/120 days,4.67% below/4.77% below/4.77% below,2025-08-25 (Price: 2869.0)/2025-10-20 (Price: 2716.0),13.61%/0.78%/4.84%,"2.25%, 21.55%",3.7 months/7 days/25 days,2026-03-29/2025-10-30/2025-11-25,18.36%,5.23%,13.13%,0.87,0.27,2967.8271/2878.5919/2819.68/No Horizontal Resistance/3926.723/4701.661/2769.65,2723.7/1229.0/2583.0638/2441.018/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),43.22768,20.0,2956200000.0,2525000000.0
"SHYAMMETL.NS, Long, 2025-10-03 (Price: 970.8)",2026-02-17 (Price: 892.5),"-8.07%, 4.6 months","95.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-10-03",Already confirmed,"2026-02-17 (Price: 892.5), 8.07% below",4.6 months,"2, 2025-07-31 (Price: 1001.0)",2025-10-01 (Price: 924.35),2025-10-03 (Price: 970.8),139/137/137 days,3.45% below/8.07% below/8.07% below,2025-07-31 (Price: 1001.0)/2025-10-03 (Price: 913.6178),10.5%/0.5%/5.54%,"13.3%, 26.49%",3.8 months/7 days/1.1 month,2026-03-17/2025-10-13/2025-11-19,17.02%,12.72%,4.3%,0.86,0.63,1008.8554/1024.5823/988.92/No Horizontal Resistance/1049.1884/1173.369/No EMA 200 Target,902.85/278.3833/939.9022/848.6664/No F-Track Level/No F-Track Level/853.61,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),25.762371,20.0,1972400000.0,1977100000.0
"GLAXO.NS, Long, 2025-09-04 (Price: 2851.8)",2026-02-17 (Price: 2614.7),"-8.31%, 5.5 months","88.46%, Past 4 years, 26","Daily, is CONFIRMED on 2025-09-04",Already confirmed,"2026-02-17 (Price: 2614.7), 8.31% below",5.5 months,"2, 2025-06-27 (Price: 3500.0)",2025-09-03 (Price: 2776.8999),2025-09-04 (Price: 2851.8),167/166/166 days,5.84% below/8.31% below/8.31% below,2025-06-27 (Price: 3500.0)/2025-09-04 (Price: 2731.1943),13.61%/0.78%/4.84%,"2.25%, 21.55%",3.7 months/7 days/25 days,2026-02-11/2025-09-14/2025-10-10,18.36%,5.23%,13.13%,0.87,0.27,3082.5106/2989.8271/3240.72/No Horizontal Resistance/3926.723/4701.661/No EMA 200 Target,2749.2/1229.0/2583.0638/2441.018/No F-Track Level/No F-Track Level/2706.2,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),43.22768,20.0,2956200000.0,2525000000.0
"PFC.NS, Long, 2025-06-09 (Price: 431.0)",2026-02-13 (Price: 401.0),"-6.96%, 8.3 months","100.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-06-09",Already confirmed,"2026-02-17 (Price: 415.6), 3.57% below",8.4 months,"2, 2025-04-22 (Price: 444.1)",2025-06-06 (Price: 418.4),2025-06-09 (Price: 431.0),256/253/253 days,0.67% below/3.57% below/3.57% below,2025-04-22 (Price: 444.1)/2025-06-09 (Price: 408.1667),11.56%/1.69%/4.61%,"-0.0%, 10.22%",2 months/6 days/24 days,2025-09-03/2025-06-17/2025-07-13,23.21%,16.94%,6.27%,0.99,0.8,475.393/450.8691/438.86/573.2/669.6245/756.265/444.18,404.8/82.66/314.182/287.5813/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),5.446814,10.0,62924600000.0,58287900000.0
"SBICARD.NS, Short, 2026-01-30 (Price: 753.55)",2026-02-12 (Price: 772.8),"-2.55%, 13 days","90.91%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-17 (Price: 770.6), 2.26% above",18 days,"4, 2025-10-31 (Price: 875.5)",2026-01-28 (Price: 782.4),2026-01-30 (Price: 753.55),20/18/18 days,1.51% below/2.26% above/2.26% above,2025-10-31 (Price: 875.5)/2026-01-30 (Price: 787.2228),7.06%/2.03%/3.32%,"1.81%, 7.6%",26 days/7 days/12 days,2026-03-08/2026-02-09/2026-02-16,8.45%,5.2%,3.25%,1.28,0.17,728.9843/728.5321/680.38/656.625/No F-Stack Support/No F-Stack Support/No EMA 200 Target,No support/656.625/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No support,0.0%/1/7 days (Across ALL Assets),No Data (Across ALL Assets),35.32031,10.0,5566400000.0,4044200000.0
