"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price,PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"DALBHARAT.NS, Long, 2026-02-03 (Price: 2110.6001)",No Exit Yet,"0.36%, 3 days","85.19%, Past 4 years, 27","Daily, is CONFIRMED on 2026-02-03",Already confirmed,"2026-02-06 (Price: 2118.3), 0.36% above",3 days,"8, 2025-07-07 (Price: 2154.3999)",2026-02-02 (Price: 2063.3999),2026-02-03 (Price: 2110.6001),4/3/3 days,2.66% above/0.36% above/0.36% above,2025-07-07 (Price: 2675.6981)/2026-02-03 (Price: 2025.5101),8.18%/2.04%/4.46%,"5.14%, 40.11%",7.7 months/7 days/2.2 months,2027-01-03/2026-02-13/2026-05-09,9.79%,11.45%,-1.66%,1.14,0.58,2150.2794/2204.7329/2136.88/2455.03/2806.0077/3418.0996/2145.35,2063.3/1669.9/1608.7998/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),2085.0,33.55457,20.0,1220000000.0,460000000.0
"FINEORG.NS, Long, 2026-02-03 (Price: 4520.8999)",No Exit Yet,"-2.39%, 3 days","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2026-02-03",Already confirmed,"2026-02-06 (Price: 4412.7998), 2.39% below",3 days,"2, 2025-11-17 (Price: 4587.8999)",2026-02-02 (Price: 4265.7002),2026-02-03 (Price: 4520.8999),4/3/3 days,3.45% above/2.39% below/2.39% below,2025-11-17 (Price: 4788.8876)/2026-02-03 (Price: 4160.1249),6.85%/1.13%/3.55%,"10.82%, 33.01%",3.6 months/6 days/21 days,2026-07-09/2026-02-11/2026-03-05,13.51%,9.88%,3.63%,0.45,0.49,4699.4754/4681.3918/4561.1/6049.375/7126.5561/8749.684/4601.73,3886.8/2762.0999/3902.6753/3301.8591/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),4450.2998,33.33434,20.0,1085463000.0,1174413000.0
"LINDEINDIA.NS, Long, 2026-02-03 (Price: 6003.5)",No Exit Yet,"0.99%, 3 days","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2026-02-03",Already confirmed,"2026-02-06 (Price: 6063.0), 0.99% above",3 days,"0, 2024-04-09 (Price: 6853.8501)",2026-02-02 (Price: 5930.5),2026-02-03 (Price: 6003.5),4/3/3 days,2.23% above/0.99% above/0.99% above,2024-04-09 (Price: 9732.0)/2026-02-03 (Price: 5907.0),37.57%/1.58%/13.39%,"16.54%, 34.41%",4.5 months/6 days/19 days,2026-08-17/2026-02-11/2026-03-02,26.6%,29.05%,-2.45%,0.58,1.32,6907.0268/6807.3687/6513.71/6045.0/10059.5422/11195.0707/6374.52,5843.5/2275.0/5190.2168/4425.7936/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),5959.5,101.01633,20.0,1071900000.0,1136890000.0
"TIMKEN.NS, Long, 2026-02-03 (Price: 3251.6001)",No Exit Yet,"-0.4%, 3 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2026-02-03",Already confirmed,"2026-02-06 (Price: 3238.5), 0.4% below",3 days,"0, 2024-04-09 (Price: 2855.0)",2026-01-30 (Price: 2941.6001),2026-02-03 (Price: 3251.6001),7/3/3 days,10.09% above/0.4% below/0.4% below,2024-04-09 (Price: 4616.3884)/2026-02-03 (Price: 2944.3087),24.95%/1.66%/9.08%,"23.82%, 42.34%",4.2 months/7 days/1.1 month,2026-08-04/2026-02-13/2026-03-22,4.99%,15.71%,-10.72%,0.41,0.75,3415.4807/3546.8454/3489.56/3534.6/4353.7859/4629.118/No EMA 200 Target,2941.6/1667.1167/3060.9508/2711.0127/No F-Track Level/No F-Track Level/3058.96,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),3100.0,56.498604,20.0,545560000.0,899480000.0
"FINEORG.NS, Long, 2026-02-02 (Price: 4265.7002)",2026-02-06 (Price: 4412.7998) (Today),"3.45%, 4 days","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2026-02-02",Already confirmed,"2026-02-06 (Price: 4412.7998), 3.45% above",4 days,"2, 2025-11-14 (Price: 4515.8999)",2026-02-02 (Price: 4265.7002),2026-02-02 (Price: 4265.7002),4/4/4 days,3.45% above/3.45% above/3.45% above,2025-11-14 (Price: 4800.5314)/2026-02-02 (Price: 4171.7687),6.85%/1.13%/3.55%,"10.82%, 33.01%",3.6 months/6 days/21 days,2026-07-08/2026-02-10/2026-03-04,13.51%,9.88%,3.63%,0.45,0.49,4434.1954/4417.1326/4415.82/6049.375/7126.5561/8749.684/4600.67,3886.8/2762.0999/3902.6753/3301.8591/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),4166.1001,33.33434,20.0,1085463000.0,1174413000.0
"GLAXO.NS, Long, 2026-02-02 (Price: 2407.2)",No Exit Yet,"3.19%, 4 days","88.46%, Past 4 years, 26","Daily, is CONFIRMED on 2026-02-02",Already confirmed,"2026-02-06 (Price: 2484.0), 3.19% above",4 days,"8, 2025-06-02 (Price: 3271.1001)",2026-02-02 (Price: 2407.2),2026-02-02 (Price: 2407.2),4/4/4 days,3.19% above/3.19% above/3.19% above,2025-06-02 (Price: 3521.8603)/2026-02-02 (Price: 2380.9895),13.61%/0.78%/4.84%,"2.25%, 21.55%",3.7 months/7 days/25 days,2026-07-12/2026-02-12/2026-03-10,18.36%,5.23%,13.13%,0.87,0.27,2601.9425/2523.7085/2925.54/2542.0/3926.723/4701.661/2803.29,2272.6/1229.0/1752.6342/1239.4046/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),2400.2,44.050365,20.0,2050100000.0,1823300000.0
"LINDEINDIA.NS, Long, 2026-02-02 (Price: 5930.5)",No Exit Yet,"2.23%, 4 days","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2026-02-02",Already confirmed,"2026-02-06 (Price: 6063.0), 2.23% above",4 days,"10, 2025-05-14 (Price: 6834.0)",2026-02-02 (Price: 5930.5),2026-02-02 (Price: 5930.5),4/4/4 days,2.23% above/2.23% above/2.23% above,2025-05-14 (Price: 7705.0541)/2026-02-02 (Price: 5838.6011),37.57%/1.58%/13.39%,"16.54%, 34.41%",4.5 months/6 days/19 days,2026-08-16/2026-02-10/2026-03-01,26.6%,29.05%,-2.45%,0.58,1.32,6823.0403/6724.594/6472.6/6045.0/10059.5422/11195.0707/6375.05,5843.5/2275.0/5190.2168/4425.7936/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),5926.0,101.01633,20.0,1071900000.0,1136890000.0
"SUPREMEIND.NS, Long, 2026-02-02 (Price: 3600.8)",2026-02-06 (Price: 3678.6001) (Today),"2.16%, 4 days","80.0%, Past 4 years, 30","Daily, is CONFIRMED on 2026-02-02",Already confirmed,"2026-02-06 (Price: 3678.6001), 2.16% above",4 days,"4, 2025-08-07 (Price: 4176.7998)",2026-02-02 (Price: 3600.8),2026-02-02 (Price: 3600.8),4/4/4 days,2.16% above/2.16% above/2.16% above,2025-08-07 (Price: 4785.6368)/2026-02-02 (Price: 3468.5067),17.14%/0.2%/5.4%,"19.0%, 43.75%",1.9 month/7 days/16 days,2026-04-25/2026-02-12/2026-02-25,13.78%,13.63%,0.15%,0.11,0.67,3834.852/3795.2432/3946.4/4904.0249/6689.9666/7579.324/3954.08,3348.7/1903.7125/3098.3776/2561.5102/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),3485.0,57.469147,20.0,1533700000.0,2066000000.0
"ARVIND.NS, Long, 2026-02-01 (Price: 330.25)",2026-02-06 (Price: 368.15) (Today),"11.48%, 5 days","90.48%, Past 4 years, 21","Daily, is CONFIRMED on 2026-02-01",Already confirmed,"2026-02-06 (Price: 368.15), 11.48% above",5 days,"2, 2025-11-24 (Price: 359.5)",2026-01-29 (Price: 297.25),2026-02-01 (Price: 330.25),8/5/5 days,23.85% above/11.48% above/11.48% above,2025-11-24 (Price: 367.7404)/2026-02-01 (Price: 290.2942),22.87%/3.67%/8.34%,"10.12%, 23.62%",4.4 months/8 days/1.4 month,2026-08-11/2026-02-12/2026-04-02,32.52%,28.05%,4.47%,0.75,1.15,353.7638/357.7928/347.8/No Horizontal Resistance/418.079/516.8303/330.26,292.65/82.7667/321.2878/265.2036/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),297.05,23.813065,20.0,975900000.0,1034200000.0
"ABB.NS, Long, 2026-01-30 (Price: 5578.5)",2026-02-06 (Price: 5816.0) (Today),"4.26%, 7 days","100.0%, Past 4 years, 31","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-06 (Price: 5816.0), 4.26% above",7 days,"2, 2025-11-13 (Price: 4913.0)",2026-01-30 (Price: 5578.5),2026-01-30 (Price: 5578.5),7/7/7 days,4.26% above/4.26% above/4.26% above,2025-11-13 (Price: 5180.9785)/2026-01-30 (Price: 5454.2804),12.46%/0.94%/5.15%,"-0.0%, 11.53%",2.8 months/7 days/19 days,2026-05-31/2026-02-09/2026-02-26,30.65%,17.94%,12.71%,1.44,0.9,6222.2589/5865.7928/5977.8/9045.2749/9135.1869/10688.1997/No EMA 200 Target,4691.5/1944.25/4980.3043/3949.3004/No F-Track Level/No F-Track Level/5382.92,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),5440.0,69.92906,20.0,3517400000.0,4434900000.0
"DELHIVERY.NS, Long, 2026-01-30 (Price: 422.95)",2026-02-05 (Price: 444.1),"5.0%, 6 days","100.0%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-06 (Price: 436.1), 3.11% above",7 days,"4, 2025-10-16 (Price: 446.8)",2026-01-30 (Price: 422.95),2026-01-30 (Price: 422.95),7/7/7 days,3.11% above/3.11% above/3.11% above,2025-10-16 (Price: 494.509)/2026-01-30 (Price: 408.6231),16.05%/1.24%/6.08%,"-0.0%, 26.92%",3.6 months/4 days/17 days,2026-07-05/2026-02-04/2026-02-23,37.01%,-5.11%,42.12%,1.27,-0.12,455.3057/448.6654/437.26/489.0333/847.539/894.3863/No EMA 200 Target,378.5/356.05/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/410.15,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),411.0,216.96518,20.0,395890000.0,102040000.0
"CONCOR.NS, Long, 2026-01-29 (Price: 500.6)",2026-02-06 (Price: 509.5) (Today),"1.78%, 8 days","100.0%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-29",Already confirmed,"2026-02-06 (Price: 509.5), 1.78% above",8 days,"6, 2025-05-13 (Price: 551.52)",2026-01-28 (Price: 496.35),2026-01-29 (Price: 500.6),9/8/8 days,2.65% above/1.78% above/1.78% above,2025-05-13 (Price: 668.1356)/2026-01-29 (Price: 488.4737),14.72%/1.4%/6.13%,"-0.0%, 19.39%",18 days/7 days/11 days,2026-02-24/2026-02-08/2026-02-13,17.15%,-1.47%,18.62%,1.25,0.01,508.4594/531.2868/531.15/824.1/1482.8544/2006.64/552.58,479.75/No Horizontal Support/477.9552/455.2414/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),499.5,30.399761,20.0,3339100000.0,3666500000.0
"RAMCOCEM.NS, Long, 2026-01-29 (Price: 1102.0)",2026-02-06 (Price: 1160.9) (Today),"5.34%, 8 days","88.46%, Past 4 years, 26","Daily, is CONFIRMED on 2026-01-29",Already confirmed,"2026-02-06 (Price: 1160.9), 5.34% above",8 days,"8, 2025-07-01 (Price: 1077.2)",2026-01-27 (Price: 1071.3),2026-01-29 (Price: 1102.0),10/8/8 days,8.36% above/5.34% above/5.34% above,2025-07-01 (Price: 1226.4422)/2026-01-29 (Price: 1035.6321),10.11%/1.95%/4.65%,"5.08%, 15.9%",1.9 month/6 days/15 days,2026-04-21/2026-02-06/2026-02-19,18.67%,4.22%,14.45%,0.83,0.22,1161.0672/1153.243/1116.88/1120.7667/1308.8687/1830.6329/No EMA 200 Target,1055.0/638.05/1015.8053/849.9372/No F-Track Level/No F-Track Level/1043.42,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1060.0,74.084236,20.0,850300000.0,371600000.0
"ICICIBANK.NS, Long, 2026-01-28 (Price: 1367.7)",2026-02-06 (Price: 1406.1) (Today),"2.81%, 9 days","100.0%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-28",Already confirmed,"2026-02-06 (Price: 1406.1), 2.81% above",9 days,"6, 2025-07-25 (Price: 1477.1)",2026-01-27 (Price: 1361.4),2026-01-28 (Price: 1367.7),10/9/9 days,3.28% above/2.81% above/2.81% above,2025-07-25 (Price: 1502.5953)/2026-01-28 (Price: 1360.1577),9.04%/0.91%/3.54%,"-0.0%, 11.14%",5 months/6 days/1.3 month,2026-09-02/2026-02-05/2026-03-25,14.19%,11.38%,2.81%,1.15,0.6,1450.4459/1416.1166/1433.34/1472.2/1798.3881/1910.4757/1405.08,1343.4/667.475/1225.11/887.0127/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1362.6,19.193283,20.0,125379800000.0,128833700000.0
"KARURVYSYA.NS, Long, 2026-01-28 (Price: 293.8)",2026-02-06 (Price: 318.1) (Today),"8.27%, 9 days","100.0%, Past 4 years, 16","Daily, is CONFIRMED on 2026-01-28",Already confirmed,"2026-02-06 (Price: 318.1), 8.27% above",9 days,"2, 2025-11-19 (Price: 253.7)",2026-01-28 (Price: 293.8),2026-01-28 (Price: 293.8),9/9/9 days,8.27% above/8.27% above/8.27% above,2025-11-19 (Price: 253.535)/2026-01-28 (Price: 290.0079),13.94%/0.76%/7.32%,"0%, 29.48%",8.8 months/4 days/1.7 month,2027-02-14/2026-02-02/2026-04-11,27.7%,20.71%,6.99%,1.53,0.94,314.8067/315.3062/317.86/No Horizontal Resistance/378.1489/404.4977/No EMA 200 Target,254.75/35.2917/260.8363/240.1393/No F-Track Level/No F-Track Level/223.02,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),292.55,13.371164,20.0,6899600000.0,4736000000.0
"SONACOMS.NS, Long, 2026-01-28 (Price: 494.1)",2026-02-06 (Price: 513.5) (Today),"3.93%, 9 days","92.86%, Past 4 years, 14","Daily, is CONFIRMED on 2026-01-28",Already confirmed,"2026-02-06 (Price: 513.5), 3.93% above",9 days,"2, 2025-11-19 (Price: 506.95)",2026-01-27 (Price: 487.8),2026-01-28 (Price: 494.1),10/9/9 days,5.27% above/3.93% above/3.93% above,2025-11-19 (Price: 522.7274)/2026-01-28 (Price: 478.707),11.9%/1.45%/7.17%,"4.24%, 32.82%",4.3 months/8 days/1 month,2026-08-02/2026-02-08/2026-03-12,16.73%,4.98%,11.75%,1.54,0.28,523.9436/529.527/501.81/766.575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,444.45/400.4833/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/473.94,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),489.5,52.07911,20.0,1507750000.0,1439450000.0
"ONGC.NS, Long, 2026-01-27 (Price: 247.95)",2026-02-06 (Price: 268.95) (Today),"8.47%, 10 days","91.67%, Past 4 years, 24","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-02-06 (Price: 268.95), 8.47% above",10 days,"4, 2025-10-13 (Price: 244.09)",2026-01-23 (Price: 245.47),2026-01-27 (Price: 247.95),14/10/10 days,9.57% above/8.47% above/8.47% above,2025-10-13 (Price: 260.4751)/2026-01-27 (Price: 243.4091),10.88%/0.89%/3.86%,"24.99%, 35.67%",3.1 months/6 days/29 days,2026-06-10/2026-02-04/2026-03-10,19.99%,7.51%,12.48%,0.38,0.39,265.9264/257.5209/250.27/288.95/395.3909/427.6239/No EMA 200 Target,231.42/120.675/211.1894/135.2818/No F-Track Level/No F-Track Level/242.12,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),246.6,9.242269,20.0,107848800000.0,102354600000.0
"GLAND.NS, Long, 2026-01-22 (Price: 1723.3)",2026-02-03 (Price: 1895.7),"10.0%, 12 days","72.22%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-22",Already confirmed,"2026-02-06 (Price: 1851.0), 7.41% above",15 days,"4, 2025-09-19 (Price: 2022.8)",2026-01-21 (Price: 1692.6),2026-01-22 (Price: 1723.3),16/15/15 days,9.36% above/7.41% above/7.41% above,2025-09-19 (Price: 2106.7347)/2026-01-22 (Price: 1682.8209),23.4%/1.4%/6.61%,"38.66%, 66.53%",3.6 months/7 days/21 days,2026-06-27/2026-02-01/2026-02-21,-19.07%,-1.05%,-18.02%,0.11,0.04,1835.3145/1837.2101/1903.0/3537.125/No Next Fib Ext/No Next Fib Ext/1773.12,1668.9/1476.45/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1714.8,35.969685,20.0,2614750000.0,1635320000.0
"GLAND.NS, Long, 2026-01-13 (Price: 1719.2)",2026-02-03 (Price: 1895.7),"10.27%, 21 days","72.22%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-13",Already confirmed,"2026-02-06 (Price: 1851.0), 7.67% above",24 days,"2, 2025-10-27 (Price: 1918.1)",2026-01-12 (Price: 1703.0),2026-01-13 (Price: 1719.2),25/24/24 days,8.69% above/7.67% above/7.67% above,2025-10-27 (Price: 2008.1091)/2026-01-13 (Price: 1662.4122),23.4%/1.4%/6.61%,"38.66%, 66.53%",3.6 months/7 days/21 days,2026-06-18/2026-01-23/2026-02-12,-19.07%,-1.05%,-18.02%,0.11,0.04,1830.948/1832.8391/1838.54/3537.125/No Next Fib Ext/No Next Fib Ext/1769.72,1680.6/1476.45/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1701.0,35.969685,20.0,2614750000.0,1635320000.0
"POWERGRID.NS, Long, 2026-01-05 (Price: 271.65)",2026-02-06 (Price: 292.75) (Today),"7.77%, 1.1 month","80.95%, Past 4 years, 21","Daily, is CONFIRMED on 2026-01-05",Already confirmed,"2026-02-06 (Price: 292.75), 7.77% above",1.1 month,"2, 2025-10-27 (Price: 291.05)",2026-01-01 (Price: 266.8),2026-01-05 (Price: 271.65),36/32/32 days,9.73% above/7.77% above/7.77% above,2025-10-27 (Price: 294.0391)/2026-01-05 (Price: 262.8352),7.93%/1.17%/4.15%,"10.58%, 26.81%",2.2 months/7 days/1 month,2026-04-10/2026-01-15/2026-02-17,6.77%,11.32%,-4.55%,0.28,0.61,277.9523/282.9235/283.29/364.375/417.9699/477.7786/287.03,257.95/141.1078/245.2878/215.3476/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),271.25,18.802183,16.0,41849600000.0,37930200000.0
"ASTRAL.NS, Long, 2026-01-02 (Price: 1453.4)",2026-02-06 (Price: 1472.2) (Today),"1.29%, 1.2 month","100.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-01-02",Already confirmed,"2026-02-06 (Price: 1472.2), 1.29% above",1.2 month,"2, 2025-11-12 (Price: 1585.2)",2026-01-01 (Price: 1434.9),2026-01-02 (Price: 1453.4),36/35/35 days,2.6% above/1.29% above/1.29% above,2025-11-12 (Price: 1598.8)/2026-01-02 (Price: 1408.0),11.6%/1.64%/5.41%,"0%, 19.25%",5.6 months/7 days/2.1 months,2026-09-02/2026-01-12/2026-04-03,23.78%,9.71%,14.07%,2.02,0.49,1578.3924/1532.0289/1532.48/2017.7/3052.2879/4138.8379/No EMA 200 Target,1360.3/1277.2406/1251.9665/1080.3662/No F-Track Level/No F-Track Level/1422.26,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1443.0,78.727264,20.0,1077000000.0,1100000000.0
"PTC.NS, Long, 2026-01-01 (Price: 162.83)",2026-02-02 (Price: 169.77),"4.26%, 1.1 month","93.75%, Past 4 years, 16","Daily, is CONFIRMED on 2026-01-01",Already confirmed,"2026-02-06 (Price: 180.57), 10.89% above",1.2 month,"2, 2025-08-21 (Price: 191.52)",2025-12-31 (Price: 161.37),2026-01-01 (Price: 162.83),37/36/36 days,11.9% above/10.89% above/10.89% above,2025-08-21 (Price: 191.4982)/2026-01-01 (Price: 158.714),21.03%/1.88%/6.92%,"23.64%, 47.9%",1.6 month/6 days/24 days,2026-03-11/2026-01-09/2026-02-04,2.71%,13.31%,-10.6%,0.54,0.63,170.6296/174.0978/180.04/240.5167/281.0337/326.2748/172.72,154.4/79.325/129.6519/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),161.5,6.0573635,16.0,1911900000.0,2172400000.0
"GLAND.NS, Long, 2025-12-31 (Price: 1722.0)",2026-02-03 (Price: 1895.7),"10.09%, 1.1 month","72.22%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-31",Already confirmed,"2026-02-06 (Price: 1851.0), 7.49% above",1.2 month,"2, 2025-10-30 (Price: 1905.8)",2025-12-29 (Price: 1650.1),2025-12-31 (Price: 1722.0),39/37/37 days,12.18% above/7.49% above/7.49% above,2025-10-30 (Price: 2054.8571)/2025-12-31 (Price: 1616.8571),23.4%/1.4%/6.61%,"38.66%, 66.53%",3.6 months/7 days/21 days,2026-06-05/2026-01-10/2026-01-30,-19.07%,-1.05%,-18.02%,0.11,0.04,1833.93/1835.8242/1832.28/3537.125/No Next Fib Ext/No Next Fib Ext/1764.21,1650.0/1476.45/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1666.0,35.969685,20.0,2614750000.0,1635320000.0
"STARHEALTH.NS, Long, 2025-12-31 (Price: 455.0)",2026-02-05 (Price: 464.9),"2.18%, 1.2 month","100.0%, Past 4 years, 6","Daily, is CONFIRMED on 2025-12-31",Already confirmed,"2026-02-06 (Price: 458.75), 0.82% above",1.2 month,"2, 2025-11-10 (Price: 490.75)",2025-12-31 (Price: 455.0),2025-12-31 (Price: 455.0),37/37/37 days,0.82% above/0.82% above/0.82% above,2025-11-10 (Price: 548.325)/2025-12-31 (Price: 445.185),2.27%/0.76%/1.43%,"0%, 37.06%",27 days/17 days/23 days,2026-02-08/2026-01-24/2026-02-02,7.03%,-11.06%,18.09%,2.05,-0.53,482.6185/461.5065/476.45/770.1/1161.6766/1542.2852/No EMA 200 Target,441.7/453.75/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/438.97,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),448.0,60.601055,20.0,1282200000.0,1112900000.0
"ABB.NS, Long, 2025-12-24 (Price: 5215.0)",2026-02-03 (Price: 5468.0),"4.85%, 1.4 month","100.0%, Past 4 years, 31","Daily, is CONFIRMED on 2025-12-24",Already confirmed,"2026-02-06 (Price: 5816.0), 11.52% above",1.5 month,"4, 2025-09-10 (Price: 5161.8999)",2025-12-23 (Price: 5204.0),2025-12-24 (Price: 5215.0),45/44/44 days,11.76% above/11.52% above/11.52% above,2025-09-10 (Price: 5487.1685)/2025-12-24 (Price: 5162.235),12.46%/0.94%/5.15%,"-0.0%, 11.53%",2.8 months/7 days/19 days,2026-04-24/2026-01-03/2026-01-20,30.65%,17.94%,12.71%,1.44,0.9,5816.811/5483.5725/5246.86/9045.2749/8713.6472/10688.1997/5413.45,5097.5/1626.525/4980.3043/4023.7141/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),5212.5,69.92906,20.0,3517400000.0,4434900000.0
"SONACOMS.NS, Long, 2025-12-12 (Price: 492.5)",2026-02-06 (Price: 513.5) (Today),"4.26%, 1.9 month","92.86%, Past 4 years, 14","Daily, is CONFIRMED on 2025-12-12",Already confirmed,"2026-02-06 (Price: 513.5), 4.26% above",1.9 month,"8, 2025-05-19 (Price: 536.1)",2025-12-10 (Price: 471.55),2025-12-12 (Price: 492.5),58/56/56 days,8.9% above/4.26% above/4.26% above,2025-05-19 (Price: 554.812)/2025-12-12 (Price: 468.024),11.9%/1.45%/7.17%,"4.24%, 32.82%",4.3 months/8 days/1 month,2026-06-16/2025-12-23/2026-01-24,16.73%,4.98%,11.75%,1.54,0.28,522.247/527.8123/518.66/766.575/931.359/1112.091/No EMA 200 Target,471.55/400.4833/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/475.97,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),485.65,52.07911,20.0,1507750000.0,1439450000.0
